"","X.3","X.2","X.1","X","hyena_ID","date_sampling","sample_ID.x","clan","sex","birthdate","age_sampling","age_sampling_cat","mucin","IgA","CSocialRank","genetic_mum"
"1",1,1,1,1,"I247","12/15/2009","X9162","I","F","8/27/1996",4858,"sampled_as_adult",88.23171755,44739.81424,-0.54,"I166"
"2",2,2,2,2,"I278","4/13/2011","B2400","I","F","4/11/1998",4750,"sampled_as_adult",85.11337766,261229.5666,-0.85,"I153"
"3",3,3,3,3,"I351","9/28/2010","B897","I","F","8/11/2001",3335,"sampled_as_adult",73.63433191,154851.9515,0.55,"I201"
"4",4,4,4,4,"I365","11/29/2007","X6753","I","F","6/14/2002",1994,"sampled_as_adult",83.52018563,88376.27567,-0.48,"I182"
"5",5,5,5,5,"I365","11/7/2014","B6320","I","F","6/14/2002",4529,"sampled_as_adult",29.89088306,170184.449,-0.6,"I182"
"6",6,6,6,6,"I369","9/26/2007","X6473","I","F","8/21/2002",1862,"sampled_as_adult",36.88792016,60828.58867,-0.24,"I214"
"7",7,7,7,7,"I405","6/8/2015","B6739","I","F","2/16/2005",3764,"sampled_as_adult",13.84058026,677477.8173,-0.76,"I247"
"8",8,8,8,8,"I434","7/27/2016","B7860","I","F","2/21/2006",3809,"sampled_as_adult",71.91142389,237742.1671,-0.17,"I363"
"9",9,9,9,9,"I447","11/30/2009","X8931","I","F","8/20/2006",1198,"sampled_as_adult",28.03930754,160326.7018,-0.6,"I247"
"10",10,10,10,10,"I458","6/5/2009","X8181","I","F","4/1/2007",796,"sampled_as_adult",271.179003,665413.2905,-0.88,"I278"
"11",11,11,11,11,"I459","9/18/2007","X6441","I","F","5/26/2007",115,"sampled_as_juvenile",208.8682098,372822.6645,0.1,"I211"
"12",12,12,12,12,"I459","12/2/2009","X8978","I","F","5/26/2007",921,"sampled_as_adult",83.36352422,87368.08196,-0.43,"I211"
"13",13,13,13,13,"I461","11/20/2007","X6641","I","M","6/7/2007",166,"sampled_as_juvenile",132.4552006,1157061.77,0.7,"I351"
"14",14,14,14,14,"I462","11/20/2007","X6643","I","F","6/7/2007",166,"sampled_as_juvenile",NA,NA,0.7,"I351"
"15",15,15,15,15,"I476","12/10/2016","B8634","I","F","10/7/2007",3352,"sampled_as_adult",29.89387537,81407.8982,1,"I314"
"16",16,16,16,16,"I482","9/1/2008","X7135","I","F","4/12/2008",142,"sampled_as_juvenile",107.0663506,1085954.248,-0.23,"I363"
"17",17,17,17,17,"I484","11/28/2009","X8908","I","F","4/27/2008",580,"sampled_as_juvenile",105.637365,336314.3425,0.14,"I383"
"18",18,18,18,18,"I491","9/22/2008","X7340","I","F","6/9/2008",105,"sampled_as_juvenile",351.794314,4698152.141,-0.75,"I387"
"19",19,19,19,19,"I512","9/24/2009","X8562","I","M","5/2/2009",145,"sampled_as_juvenile",178.8413288,1357078.893,-0.77,"I405"
"20",20,20,20,20,"I513","9/25/2009","X8566","I","M","5/2/2009",146,"sampled_as_juvenile",131.443065,564788.694,-0.77,"I405"
"21",21,21,21,21,"I515","7/22/2009","X8453","I","F","3/17/2009",127,"sampled_as_juvenile",82.75516359,466740.9483,-0.09,"I182"
"22",22,22,22,22,"I538","7/6/2016","B7706","I","F","9/8/2009",2493,"sampled_as_adult",71.58194612,49228.34976,0.35,"I451"
"23",23,23,23,23,"I545","2/23/2010","X9326","I","F","10/28/2009",118,"sampled_as_juvenile",115.9240582,594506.3701,0.14,"I383"
"24",24,24,24,24,"I545","11/11/2015","B7255","I","F","10/28/2009",2205,"sampled_as_adult",43.58092413,302.5768584,0.45,"I383"
"25",25,25,25,25,"I551","7/9/2010","B574","I","M","1/12/2010",178,"sampled_as_juvenile",123.3487386,648637.7282,-0.65,"I387"
"26",26,26,26,26,"I557","10/7/2010","B990","I","M","2/19/2010",230,"sampled_as_juvenile",279.5804765,22407.08216,-0.85,"I278"
"27",27,27,27,27,"I558","9/20/2010","B867","I","F","2/19/2010",213,"sampled_as_juvenile",214.8965112,16811.43005,-0.85,"I278"
"28",28,28,28,28,"I562","7/7/2010","B540","I","F","2/5/2010",152,"sampled_as_juvenile",126.1952691,1128818.311,-0.35,"I335"
"29",29,29,29,29,"I562","9/7/2010","B824","I","F","2/5/2010",214,"sampled_as_juvenile",113.0433927,1449741.212,-0.35,"I335"
"30",30,30,30,30,"I562","12/13/2016","B8661","I","F","2/5/2010",2503,"sampled_as_adult",24.19734371,341381.434,-0.39,"I335"
"31",31,31,31,31,"I565","11/25/2010","B1445","I","F","3/3/2010",267,"sampled_as_juvenile",74.66377833,227502.8213,0.79,"I315"
"32",32,32,32,32,"I565","6/16/2016","B7607","I","F","3/3/2010",2297,"sampled_as_adult",78.43109564,138556.3734,0.4,"I315"
"33",33,33,33,33,"I566","10/7/2010","B981","I","M","4/29/2010",161,"sampled_as_juvenile",293.7286176,236243.4301,0.75,"I400"
"34",34,34,34,34,"I567","8/5/2010","B635","I","F","3/1/2010",157,"sampled_as_juvenile",363.5062781,466942.4378,-0.2,"I434"
"35",35,35,35,35,"I567","11/27/2014","B6240","I","F","3/1/2010",1732,"sampled_as_adult",64.18497779,280619.6035,-0.05,"I434"
"36",36,36,36,36,"I570","12/21/2010","B1733","I","F","4/4/2010",261,"sampled_as_juvenile",318.0383243,32425.93689,-0.79,"I405"
"37",37,37,37,37,"I570","11/7/2014","B6318","I","F","4/4/2010",1678,"sampled_as_adult",13.87130852,52917.5862,-0.91,"I405"
"38",38,38,38,38,"I580","11/17/2010","B1303","I","M","6/30/2010",140,"sampled_as_juvenile",88.95265319,64575.16317,0.44,"I425"
"39",39,39,39,39,"I581","9/13/2010","B841","I","M","6/30/2010",75,"sampled_as_juvenile",193.0556393,1205857.655,0.45,"I425"
"40",40,40,40,40,"I581","10/23/2010","B1079","I","M","6/30/2010",115,"sampled_as_juvenile",99.69527905,41748.24164,0.44,"I425"
"41",41,41,41,41,"I591","1/27/2011","B1830","I","F","10/7/2010",112,"sampled_as_juvenile",185.6776738,3678063.659,0.69,"I314"
"42",42,42,42,42,"I591","12/1/2013","B4621","I","F","10/7/2010",1151,"sampled_as_adult",98.81273758,772.3634033,0.95,"I314"
"43",43,43,43,43,"I600","6/2/2011","B2536","I","M","2/19/2011",103,"sampled_as_juvenile",104.8460568,11400.30305,-0.85,"I278"
"44",44,44,44,44,"I602","6/2/2011","B2530","I","F","2/19/2011",103,"sampled_as_juvenile",161.9416027,642869.0649,-0.85,"I278"
"45",45,45,45,45,"I604","3/1/2017","B8996","I","F","3/4/2011",2189,"sampled_as_adult",43.4115316,149590.3793,1,"I474"
"46",46,46,46,46,"I605","11/29/2017","B9837","I","F","3/4/2011",2462,"sampled_as_adult",45.56852218,177130.2702,0.57,"I474"
"47",47,47,47,47,"I617","11/26/2013","B4604","I","F","7/8/2011",872,"sampled_as_adult",40.79609167,421794.4396,-0.05,"I363"
"48",48,48,48,48,"I618","11/11/2011","B2926","I","F","7/8/2011",126,"sampled_as_juvenile",175.2139808,414831.6501,-0.07,"I363"
"49",49,49,49,49,"I680","11/29/2017","B9758","I","F","6/21/2013",1622,"sampled_as_adult",20.95075406,144240.9382,0.78,"I484"
"50",50,50,50,50,"I687","11/8/2013","B4368","I","F","7/17/2013",114,"sampled_as_juvenile",254.9850265,1811083.431,-0.16,"I482"
"51",51,51,51,51,"I688","11/8/2013","B4372","I","M","7/17/2013",114,"sampled_as_juvenile",146.7364551,771926.8842,-0.16,"I482"
"52",52,52,52,52,"I691","11/6/2013","B4360","I","F","8/14/2013",84,"sampled_as_juvenile",NA,NA,-0.56,"I459"
"53",53,53,53,53,"I692","11/1/2013","B4420","I","F","8/20/2013",73,"sampled_as_juvenile",NA,NA,0.6,"I476"
"54",54,54,54,54,"I692","3/1/2017","B8988","I","F","8/20/2013",1289,"sampled_as_adult",27.49539692,129921.3773,0.79,"I476"
"55",55,55,55,55,"I694","3/22/2014","B4988","I","F","9/24/2013",179,"sampled_as_juvenile",101.3068489,828222.9409,-0.17,"I434"
"56",56,56,56,56,"I694","11/17/2017","B9730","I","F","9/24/2013",1515,"sampled_as_adult",78.19184516,35929.68892,-0.3,"I434"
"57",57,57,57,57,"I704","7/12/2014","B5080","I","M","2/5/2014",157,"sampled_as_juvenile",139.7008673,1068589.459,-0.23,"I497"
"58",58,58,58,58,"I705","1/30/2015","B6437","I","F","5/1/2014",274,"sampled_as_juvenile",84.86594427,351739.1197,0.38,"I545"
"59",59,59,59,59,"I707","7/12/2014","B5084","I","M","2/5/2014",157,"sampled_as_juvenile",75.55300548,277866.8749,-0.23,"I497"
"60",60,60,60,60,"I711","6/12/2014","B5035","I","F","2/9/2014",123,"sampled_as_juvenile",85.64816643,1176521.249,-0.8,"I491"
"61",61,61,61,61,"I712","6/10/2014","B5039","I","F","2/9/2014",121,"sampled_as_juvenile",NA,NA,-0.8,"I491"
"62",62,62,62,62,"I723","1/2/2015","B6279","I","F","4/12/2014",265,"sampled_as_juvenile",55.75223648,968972.8067,0.59,"I453"
"63",63,63,63,63,"I723","2/19/2017","B8929","I","F","4/12/2014",1044,"sampled_as_adult",38.12450926,95650.63204,0.61,"I453"
"64",64,64,64,64,"I759","11/13/2015","B7274","I","M","7/4/2015",132,"sampled_as_juvenile",NA,NA,0.83,"I619"
"65",65,65,65,65,"I814","7/13/2017","B9185","I","F","1/9/2017",185,"sampled_as_juvenile",281.940784,441519.0308,-0.22,"I434"
"66",66,66,66,66,"I815","7/5/2017","B9123","I","F","1/9/2017",177,"sampled_as_juvenile",215.561911,215771.6038,-0.22,"I434"
"67",67,67,67,67,"I823","5/22/2017","B9034","I","F","1/13/2017",129,"sampled_as_juvenile",142.1745853,593742.8774,0.61,"I574"
"68",68,68,68,68,"I823","7/9/2017","B9157","I","F","1/13/2017",177,"sampled_as_juvenile",193.5064905,463918.9436,0.67,"I574"
"69",69,69,69,69,"I824","3/28/2017","B9030","I","F","1/13/2017",74,"sampled_as_juvenile",117.6749794,610911.4058,0.58,"I574"
"70",70,70,70,70,"I824","7/9/2017","B9161","I","F","1/13/2017",177,"sampled_as_juvenile",97.36186395,415295.6786,0.67,"I574"
"71",71,71,71,71,"M148","1/31/2006","X5461","M","F","5/19/1990",5736,"sampled_as_adult",41.87386163,93579.64619,-0.93,"M025"
"72",72,72,72,72,"M297","9/1/2008","X7127","M","F","3/8/1997",4195,"sampled_as_adult",85.70892959,168444.3005,-0.78,"M147"
"73",73,73,73,73,"M326","1/30/2009","X7622","M","F","3/1/1998",3988,"sampled_as_adult",31.88388764,253331.9583,-0.56,"M029"
"74",74,74,74,74,"M326","11/2/2010","B1162","M","F","3/1/1998",4629,"sampled_as_adult",77.73640743,1150.453878,-0.29,"M029"
"75",75,75,75,75,"M410","2/27/2009","X7935","M","F","9/1/2000",3101,"sampled_as_adult",31.60365325,284951.2627,-0.78,"M135"
"76",76,76,76,76,"M421","6/11/2009","X8286","M","F","7/26/2001",2877,"sampled_as_adult",54.73775696,28312.2487,0.89,"M269"
"77",77,77,77,77,"M438","8/19/2008","X7063","M","F","1/30/2002",2393,"sampled_as_adult",30.53865904,49064.33895,0.17,"M095"
"78",78,78,78,78,"M477","11/14/2007","X6621","M","F","7/26/2003",1572,"sampled_as_adult",30.26269166,96000.35585,0.94,"M269"
"79",79,79,79,79,"M491","12/28/2005","X4350","M","M","1/4/2004",724,"sampled_as_juvenile",323.348751,244794.3422,-0.93,"M103"
"80",80,80,80,80,"M532","2/6/2006","X5506","M","F","8/31/2005",159,"sampled_as_juvenile",84.93863469,365227.6063,0.43,"M393"
"81",81,81,81,81,"M532","6/3/2015","B6728","M","F","8/31/2005",3563,"sampled_as_adult",93.01511782,159931.6528,0.55,"M393"
"82",82,82,82,82,"M550","9/15/2007","X6423","M","F","6/14/2006",458,"sampled_as_juvenile",79.12843267,40006.34771,-0.5,"M344"
"83",83,83,83,83,"M551","9/15/2007","X6425","M","M","6/14/2006",458,"sampled_as_juvenile",80.77649082,68080.94518,-0.5,"M344"
"84",84,84,84,84,"M565","9/9/2016","B8154","M","F","10/14/2006",3618,"sampled_as_adult",20.27038883,353226.11,-1,"M332"
"85",85,85,85,85,"M567","9/11/2007","X6415","M","M","3/15/2007",180,"sampled_as_juvenile",124.9496811,589694.0918,-0.72,"M297"
"86",86,86,86,86,"M567","11/26/2007","X6689","M","M","3/15/2007",256,"sampled_as_juvenile",83.16896083,48485.81053,-0.76,"M297"
"87",87,87,87,87,"M581","1/31/2008","X6824","M","F","8/29/2007",155,"sampled_as_juvenile",111.6863492,3575288.623,0.38,"M418"
"88",88,88,88,88,"M581","7/26/2010","B610","M","F","8/29/2007",1062,"sampled_as_adult",22.30948684,207538.3274,0.94,"M418"
"89",89,89,89,89,"M583","11/26/2007","X6685","M","M","9/4/2007",83,"sampled_as_juvenile",547.2846023,2647529.395,0.94,"M477"
"90",90,90,90,90,"M583","2/19/2008","X6889","M","M","9/4/2007",168,"sampled_as_juvenile",248.6879447,2533975.725,0.94,"M477"
"91",91,91,91,91,"M584","2/20/2008","X6894","M","M","9/6/2007",167,"sampled_as_juvenile",214.0469367,250197.2874,0.88,"M421"
"92",92,92,92,92,"M592","7/1/2008","X6988","M","M","12/10/2007",204,"sampled_as_juvenile",156.0750603,454835.899,0.61,"M436"
"93",93,93,93,93,"M593","7/1/2008","X6992","M","M","12/10/2007",204,"sampled_as_juvenile",266.965403,4698152.141,0.61,"M436"
"94",94,94,94,94,"M595","11/12/2008","X7456","M","F","6/2/2008",163,"sampled_as_juvenile",74.51198937,131914.9946,-0.5,"M517"
"95",95,95,95,95,"M597","10/3/2008","X7442","M","F","6/24/2008",101,"sampled_as_juvenile",91.46286744,1994206.168,-0.83,"M522"
"96",96,96,96,96,"M597","5/16/2009","X8089","M","F","6/24/2008",326,"sampled_as_juvenile",68.06972526,374874.7016,-0.78,"M522"
"97",97,97,97,97,"M600","1/8/2009","X7579","M","F","6/18/2008",204,"sampled_as_juvenile",111.7151999,388884.3418,0.11,"M438"
"98",98,98,98,98,"M604","11/14/2008","X7466","M","F","8/9/2008",97,"sampled_as_juvenile",NA,NA,-0.72,"M297"
"99",99,99,99,99,"M604","3/3/2009","X7999","M","F","8/9/2008",206,"sampled_as_juvenile",219.6341415,8519217.47,-0.67,"M297"
"100",100,100,100,100,"M604","11/16/2010","B1287","M","F","8/9/2008",829,"sampled_as_adult",95.3701648,286656.7594,-0.52,"M297"
"101",101,101,101,101,"M605","10/3/2008","X7448","M","F","8/9/2008",55,"sampled_as_juvenile",103.6240404,4356111.169,-0.77,"M297"
"102",102,102,102,102,"M605","1/8/2009","X7573","M","F","8/9/2008",152,"sampled_as_juvenile",154.3372008,3780555.375,-0.67,"M297"
"103",103,103,103,103,"M608","2/27/2009","X7933","M","F","8/28/2008",183,"sampled_as_juvenile",142.9020892,5141858.333,-0.28,"M447"
"104",104,104,104,104,"M615","2/4/2009","X7637","M","F","10/17/2008",110,"sampled_as_juvenile",361.2833173,2000986.556,-0.17,"M344"
"105",105,105,105,105,"M617","2/4/2009","X7642","M","M","10/17/2008",110,"sampled_as_juvenile",202.1170021,4051437.499,-0.17,"M344"
