hyena_ID,date_sampling,sample_ID.x,module,sub_module,clan,sex,birthdate,age_sampling,age_sampling_cat,litter_size,twin_status,sex_comp,date_reversal1,date_reversal2,type_adoption,genetic_mum_alive,social_rank_genetic_mum,surrogate_mum1_alive,social_rank_surrogate_mum1,surrogate_mum2_alive,social_rank_surrogate_mum2,date_adoption,social_rank_hyena_ID,prey_level,prey_level_imputed,sampling_month,season,total_parasite_load,Ancylostoma_egg_load,Ancylostoma_rich,Cystoisospora_oocyst_load,Cystoisospora_rich,Spirometra_egg_load,Spirometra_rich,Dipylidium_egg_load,Dipylidium_rich..includes.proglotids.visualization.info.,Trichuris_egg_load,Trichuris_rich,Taeniidae_egg_load,Taeniidae_rich,Spirurida_egg_load,Spirurida_rich,Mesocestoides_egg_load,Mesocestoides_rich,other_unidentified_taxa,other_rich,total_parasite_rich,total_parasite_rich_without_other,mucin,IgA,IgG,fGCM,lysozyme,lysozyme_detection,neopterin,neopterin_CV,extract_prepared_neopterin,date_neopterin,time_of_storage_neopterin,sample_ID.y,cortisol,AFR,LRS,age_death,Survival_Ad
I247,12/15/2009,X9162,intest_biomes,adoptions,I,F,8/27/1996,4858,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.54,2,2,12,wet,75,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,88.23171755,44739.81424,28.33800714,47.73,0,0,19.38,5 - 10%,22-Jan-21,5-Feb-21,14,ES1299,47.73,1752,8,6758,Yes
I278,4/13/2011,B2400,intest_biomes,adoptions,I,F,4/11/1998,4750,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.85,1,1,4,wet,125,50,1,0,0,25,1,0,0,0,0,0,0,0,0,50,1,0,0,3,3,85.11337766,261229.5666,11121.6177,38.36,0,0,12.81,< 5%,24-Feb-20,14-Dec-20,294,ES1608,38.36,1460,5,4990,Yes
I351,9/28/2010,B897,intest_biomes,adoptions,I,F,8/11/2001,3335,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55,2,2,9,dry,625,225,1,0,0,0,0,0,0,0,0,0,0,400,1,0,0,0,0,2,2,73.63433191,154851.9515,0,30.237,0,0,11.7,< 5%,22-Jan-21,5-Feb-21,14,ES1423,30.24,1496,4,5219,Yes
I365,11/29/2007,X6753,intest_biomes,social_dyn,I,F,6/14/2002,1994,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.48,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83.52018563,88376.27567,13.52789787,38.545,0,0,20.441,< 5%,22-Jan-21,27-Jan-21,5,ES897,38.55,2226,0,4640,Yes
I365,11/7/2014,B6320,intest_biomes,extreme_ranks,I,F,6/14/2002,4529,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,2,2,11,wet,675,400,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,29.89088306,170184.449,339.3864171,28.881,0,0,21.09,< 5%,24-Feb-20,16-Dec-20,296,ES1935,28.88,2226,0,4640,Yes
I369,9/26/2007,X6473,intest_biomes,social_dyn,I,F,8/21/2002,1862,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.24,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.88792016,60828.58867,333.8838693,15.09,0,0,2.133,< 5%,16-Apr-20,16-Dec-20,244,ES850,15.09,1752,0,2608,Yes
I405,6/8/2015,B6739,intest_biomes,extreme_ranks,I,F,2/16/2005,3764,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.76,1,1,6,dry,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.84058026,677477.8173,510.2673876,27.695,0,0,1.302,< 5%,24-Feb-20,16-Dec-20,296,ES2114,27.7,1533,3,4705,Yes
I434,7/27/2016,B7860,intest_biomes,extreme_ranks,I,F,2/21/2006,3809,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.17,2,2,7,dry,25,0,0,0,0,0,0,0,0,25,1,0,0,0,0,0,0,0,0,1,1,71.91142389,237742.1671,7.041535313,77.29,0,0,37.56,< 5%,24-Feb-20,16-Dec-20,296,ES2357,77.29,1460,3,NA,Yes
I447,11/30/2009,X8931,intest_biomes,extreme_ranks,I,F,8/20/2006,1198,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6,3,3,11,wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.03930754,160326.7018,58.59857043,12.21,0,0,3.564,5 - 10%,24-Feb-20,14-Dec-20,294,ES1274,12.21,1204,0,1887,Yes
I458,6/5/2009,X8181,intest_biomes,social_dyn,I,F,4/1/2007,796,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.88,1,1,6,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271.179003,665413.2905,18.82768854,17.579,1.302044,1,53.51,< 5%,22-Jan-21,28-Jan-21,6,ES1145,208.75,1168,0,1783,Yes
I459,9/18/2007,X6441,intest_biomes,social_dyn,I,F,5/26/2007,115,sampled_as_juvenile,twin,twin_sub,mixed,NA,NA,no_adoption,mum_alive,0.1,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.8682098,372822.6645,1473.353493,35.925,0,0,9.641,< 5%,16-Apr-20,22-Mar-21,340,ES840,35.93,1496,3,4072,Yes
I459,12/2/2009,X8978,intest_biomes,social_dyn,I,F,5/26/2007,921,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.43,3,3,12,wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.36352422,87368.08196,122.2729032,20.52,0,0,2.919,< 5%,16-Apr-20,14-Dec-20,242,ES1282,20.52,1496,3,4072,Yes
I461,11/20/2007,X6641,intest_biomes,twins,I,M,6/7/2007,166,sampled_as_juvenile,twin,twin_dom,mixed,11/20/2007,NA,no_adoption,mum_alive,0.7,NA,NA,NA,NA,NA,NA,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,132.4552006,1157061.77,215.0344709,NA,0,0,8.962,< 5%,16-Apr-20,16-Dec-20,244,ES886,NA,NA,NA,NA,Yes
I462,11/20/2007,X6643,intest_biomes,social_dyn_twins,I,F,6/7/2007,166,sampled_as_juvenile,twin,twin_sub,mixed,11/20/2007,NA,no_adoption,mum_alive,0.7,NA,NA,NA,NA,NA,NA,2,2,11,wet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1445,Yes
I476,12/10/2016,B8634,intest_biomes,extreme_ranks,I,F,10/7/2007,3352,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,12,wet,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,29.89387537,81407.8982,10.08759994,29.626,0,0,3.506,< 5%,24-Feb-20,16-Dec-20,296,ES2517,29.63,1132,4,NA,Yes
I482,9/1/2008,X7135,intest_biomes,social_dyn,I,F,4/12/2008,142,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,-0.23,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107.0663506,1085954.248,1010.738111,61.203,0,0,7.874,5 - 10%,16-Apr-20,22-Mar-21,340,ES993,61.2,1241,2,3394,Yes
I484,11/28/2009,X8908,intest_biomes,social_dyn,I,F,4/27/2008,580,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,0.14,NA,NA,NA,NA,NA,NA,3,3,11,wet,56450,875,1,0,0,55575,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,105.637365,336314.3425,58.18589589,21.805,0,0,2.15,5 - 10%,22-Jan-21,27-Jan-21,5,ES1271,21.81,1132,2,4313,Yes
I491,9/22/2008,X7340,intest_biomes,social_dyn,I,F,6/9/2008,105,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,-0.75,NA,NA,NA,NA,NA,NA,3,3,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,351.794314,4698152.141,15.29637348,2382.673,0,0,22.62,< 5%,16-Apr-20,16-Dec-20,244,ES1009,2382.67,1460,2,2598,Yes
I512,9/24/2009,X8562,intest_biomes,twins,I,M,5/2/2009,145,sampled_as_juvenile,twin,twin_dom,MM,NA,NA,no_adoption,mum_alive,-0.77,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.8413288,1357078.893,827.919016,41.01,0,0,3.331,< 5%,16-Apr-20,16-Dec-20,244,ES1188,41.01,NA,NA,NA,No
I513,9/25/2009,X8566,intest_biomes,twins,I,M,5/2/2009,146,sampled_as_juvenile,twin,twin_sub,MM,NA,NA,no_adoption,mum_alive,-0.77,NA,NA,NA,NA,NA,NA,2,2,9,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131.443065,564788.694,187.299932,44.545,0,0,5.151,< 5%,16-Apr-20,23-Mar-21,341,ES1190,44.55,NA,NA,NA,No
I515,7/22/2009,X8453,intest_biomes,social_dyn,I,F,3/17/2009,127,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,-0.09,NA,NA,NA,NA,NA,NA,2,2,7,dry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,82.75516359,466740.9483,1262.565695,22.401,0,0,3.672,< 5%,16-Apr-20,23-Mar-21,341,ES1150,22.4,1570,1,NA,Yes
I538,7/6/2016,B7706,intest_biomes,social_dyn,I,F,9/8/2009,2493,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,2,2,7,dry,1100,75,1,125,1,875,1,0,0,0,0,0,0,0,0,25,1,0,0,4,4,71.58194612,49228.34976,37.37387959,43.615,0,0,2.527,< 5%,16-Apr-20,17-Dec-20,245,ES2333,43.62,1570,1,2656,Yes
I545,2/23/2010,X9326,intest_biomes,social_dyn,I,F,10/28/2009,118,sampled_as_juvenile,twin,twin_sub,FF,NA,NA,no_adoption,mum_alive,0.14,NA,NA,NA,NA,NA,NA,2,2,2,wet,6100,5700,1,400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,115.9240582,594506.3701,413.1622713,36.98,0,0,6.79,< 5%,16-Apr-20,16-Dec-20,244,ES1321,36.98,1424,2,NA,Yes
I545,11/11/2015,B7255,intest_biomes,social_dyn,I,F,10/28/2009,2205,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45,3,3,11,wet,100,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43.58092413,302.5768584,8.034353693,33.971,0,0,9.67,< 5%,6-Oct-17,7-Oct-20,1097,ES2241,33.97,1424,2,NA,Yes
I551,7/9/2010,B574,intest_biomes,adoptions,I,M,1/12/2010,178,sampled_as_juvenile,twin,twin_dom,mixed,7/7/2010,NA,no_adoption,mum_alive,-0.65,NA,NA,NA,NA,NA,NA,2,2,7,dry,650,125,1,275,1,200,1,0,0,25,1,0,0,0,0,0,0,25,1,5,4,123.3487386,648637.7282,3261.295481,25.205,0,0,4.891,< 5%,24-Feb-20,15-Dec-20,295,ES1379,25.21,NA,NA,NA,Yes
I557,10/7/2010,B990,intest_biomes,adoptions,I,M,2/19/2010,230,sampled_as_juvenile,twin,twin_sub,mixed,NA,NA,adoption,mum_alive,-0.85,surrogate_mum1_alive,0.55,NA,NA,3/18/2010,NA,2,2,10,dry,7875,1775,1,275,1,5650,1,0,1,100,1,0,0,0,0,0,0,75,1,6,5,279.5804765,22407.08216,113.5944617,29.135,0,0,4.08,< 5%,5-Nov-20,15-Dec-20,40,ES1433,29.14,NA,NA,NA,Yes
I558,9/20/2010,B867,intest_biomes,adoptions,I,F,2/19/2010,213,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,adoption,mum_alive,-0.85,surrogate_mum1_alive,0.55,NA,NA,3/18/2010,NA,1,1,9,dry,100,100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,214.8965112,16811.43005,12.09976958,31.108,0,0,10.52,< 5%,5-Nov-20,15-Dec-20,40,ES1419,31.11,NA,NA,1743,Yes
I562,7/7/2010,B540,intest_biomes,social_dyn,I,F,2/5/2010,152,sampled_as_juvenile,twin,twin_dom,FF,NA,NA,no_adoption,mum_alive,-0.35,NA,NA,NA,NA,NA,NA,2,2,7,dry,4825,4575,1,150,1,25,1,0,0,0,0,0,0,0,0,0,0,75,1,3,2,126.1952691,1128818.311,89.76453188,67.59,0,0,8.316,< 5%,16-Apr-20,16-Dec-20,244,ES1377,67.59,1861,1,NA,Yes
I562,9/7/2010,B824,intest_biomes,adoptions,I,F,2/5/2010,214,sampled_as_juvenile,twin,twin_dom,FF,NA,NA,no_adoption,mum_alive,-0.35,NA,NA,NA,NA,NA,NA,2,2,9,dry,2300,1825,1,0,0,0,0,400,1,0,0,0,0,50,1,0,0,0,0,3,3,113.0433927,1449741.212,58.03811642,84.929,0,0,7.777,< 5%,22-Jan-21,28-Jan-21,6,ES1413,84.93,1861,1,NA,Yes
I562,12/13/2016,B8661,intest_biomes,social_dyn,I,F,2/5/2010,2503,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.39,1,1,12,wet,25,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,24.19734371,341381.434,318.0720166,31.78,0,0,7.273,< 5%,16-Apr-20,17-Dec-20,245,ES2523,31.78,1861,1,NA,Yes
I565,11/25/2010,B1445,intest_biomes,social_dyn_adoptions,I,F,3/3/2010,267,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,0.79,NA,NA,NA,NA,NA,NA,2,2,11,wet,16475,150,1,25,1,16300,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,74.66377833,227502.8213,583.123751,16.717,0,0,4.897,5 - 10%,24-Feb-20,16-Dec-20,296,ES1470,16.72,1606,1,2342,Yes
I565,6/16/2016,B7607,intest_biomes,social_dyn,I,F,3/3/2010,2297,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2,2,6,dry,950,150,1,175,1,625,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,78.43109564,138556.3734,11.81321144,29.265,0,0,3.495,< 5%,16-Apr-20,17-Dec-20,245,ES2308,29.27,1606,1,2342,Yes
I566,10/7/2010,B981,intest_biomes,adoptions,I,M,4/29/2010,161,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,0.75,NA,NA,NA,NA,NA,NA,2,2,10,dry,275,275,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,293.7286176,236243.4301,106.3413862,46.347,1.472755,1,4.058,< 5%,24-Jun-17,7-Oct-20,1201,ES1432,46.35,NA,NA,NA,No
I567,8/5/2010,B635,intest_biomes,social_dyn,I,F,3/1/2010,157,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,-0.2,NA,NA,NA,NA,NA,NA,2,2,8,dry,6575,6400,1,150,1,0,0,0,0,25,1,0,0,0,0,0,0,0,0,3,3,363.5062781,466942.4378,223.4456229,50.85,0,0,11.01,< 5%,7-Oct-17,30-Sep-20,1089,ES1388,50.85,1350,2,NA,Yes
I567,11/27/2014,B6240,intest_biomes,social_dyn,I,F,3/1/2010,1732,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,2,2,11,wet,2900,25,1,0,0,2875,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,64.18497779,280619.6035,118.1506385,22.711,0,0,3.97,< 5%,16-Apr-20,17-Dec-20,245,ES1961,22.71,1350,2,NA,Yes
I570,12/21/2010,B1733,intest_biomes,social_dyn_adoptions,I,F,4/4/2010,261,sampled_as_juvenile,singlt,NA,NA,NA,NA,no_adoption,mum_alive,-0.79,NA,NA,NA,NA,NA,NA,1,1,12,wet,113000,1325,1,4100,1,107450,1,25,1,0,0,0,0,0,0,100,1,0,0,5,5,318.0383243,32425.93689,12.33063137,29.851,0,0,6.813,< 5%,10-Jul-17,15-Dec-20,1254,ES1506,29.85,1278,0,2554,Yes
I570,11/7/2014,B6318,intest_biomes,extreme_ranks,I,F,4/4/2010,1678,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.91,2,2,11,wet,25,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13.87130852,52917.5862,18.47330435,26.755,0,0,5.719,< 5%,22-Jan-21,27-Jan-21,5,ES1934,26.76,1278,0,2554,Yes
I580,11/17/2010,B1303,intest_biomes,twins,I,M,6/30/2010,140,sampled_as_juvenile,twin,twin_sub,MM,10/7/2010,NA,no_adoption,mum_alive,0.44,NA,NA,NA,NA,NA,NA,2,2,11,wet,575,550,1,0,0,0,0,0,1,0,0,0,0,0,0,25,1,0,0,3,3,88.95265319,64575.16317,43.56999373,46.701,0,0,1.467,5 - 10%,16-Apr-20,16-Dec-20,244,ES1463,46.7,NA,NA,NA,Yes
I581,9/13/2010,B841,intest_biomes,twins,I,M,6/30/2010,75,sampled_as_juvenile,twin,twin_dom,MM,10/7/2010,NA,no_adoption,mum_alive,0.45,NA,NA,NA,NA,NA,NA,2,2,9,dry,7025,7025,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,193.0556393,1205857.655,21121.39451,22.425,0,0,14.89,< 5%,16-Apr-20,16-Dec-20,244,ES1415,22.43,NA,NA,NA,Yes
I581,10/23/2010,B1079,intest_biomes,twins,I,M,6/30/2010,115,sampled_as_juvenile,twin,twin_dom,MM,10/7/2010,NA,no_adoption,mum_alive,0.44,NA,NA,NA,NA,NA,NA,2,2,10,dry,13650,9075,1,4425,1,0,0,0,0,25,1,0,0,0,0,0,0,125,1,4,3,99.69527905,41748.24164,86.51684556,1987.129,0,0,19.12,< 5%,24-Jun-17,7-Oct-20,1201,ES1444,1987.13,NA,NA,NA,Yes
I591,1/27/2011,B1830,intest_biomes,social_dyn,I,F,10/7/2010,112,sampled_as_juvenile,twin,twin_sub,FF,NA,NA,no_adoption,mum_alive,0.69,NA,NA,NA,NA,NA,NA,1,1,1,wet,5050,4750,1,0,0,0,0,0,0,0,0,0,0,0,0,300,1,0,0,2,2,185.6776738,3678063.659,112.3120556,1290.404,0,0,7.919,< 5%,16-Apr-20,16-Dec-20,244,ES1525,1290.4,1570,0,2262,Yes
I591,12/1/2013,B4621,intest_biomes,social_dyn,I,F,10/7/2010,1151,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,2,2,12,wet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.81273758,772.3634033,25.60186147,28.848,0,0,5.021,< 5%,6-Oct-17,7-Oct-20,1097,ES1880,28.85,1570,0,2262,Yes
I600,6/2/2011,B2536,intest_biomes,twins,I,M,2/19/2011,103,sampled_as_juvenile,twin,twin_sub,mixed,NA,NA,no_adoption,mum_alive,-0.85,NA,NA,NA,NA,NA,NA,1,1,6,dry,12200,25,1,6350,1,5800,1,0,1,0,0,0,0,0,0,0,0,25,1,5,4,104.8460568,11400.30305,8.168360112,227.66,0,0,8.134,5 - 10%,19-Jul-17,27-Jan-21,1288,ES1623,227.66,NA,NA,NA,No
I602,6/2/2011,B2530,intest_biomes,twins,I,F,2/19/2011,103,sampled_as_juvenile,twin,twin_dom,mixed,NA,NA,no_adoption,mum_alive,-0.85,NA,NA,NA,NA,NA,NA,1,1,6,dry,1675,775,1,875,1,25,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,161.9416027,642869.0649,571.2585634,100.529,0,0,4.6,< 5%,16-Apr-20,16-Dec-20,244,ES1622,100.53,NA,NA,309,No
I604,3/1/2017,B8996,intest_biomes,extreme_ranks,I,F,3/4/2011,2189,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,3,wet,2175,50,1,0,0,2075,1,0,0,0,0,50,1,0,0,0,0,0,0,3,3,43.4115316,149590.3793,117.6659956,67.49,0,0,16.97,< 5%,24-Feb-20,16-Dec-20,296,ES2619,67.49,1350,1,2297,Yes
I605,11/29/2017,B9837,intest_biomes,extreme_ranks,I,F,3/4/2011,2462,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.57,NA,2,11,wet,13975,0,0,175,1,13800,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,45.56852218,177130.2702,4031.504308,49.568,0,0,4.241,< 5%,22-Jan-21,27-Jan-21,5,ES2828,49.57,1350,1,NA,Yes
I617,11/26/2013,B4604,intest_biomes,social_dyn,I,F,7/8/2011,872,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.05,2,2,11,wet,375,100,1,0,0,275,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,40.79609167,421794.4396,3616.3992,25.653,0,0,3.334,< 5%,16-Apr-20,17-Dec-20,245,ES1876,25.65,1314,0,2011,Yes
I618,11/11/2011,B2926,intest_biomes,twins,I,F,7/8/2011,126,sampled_as_juvenile,twin,twin_dom,FF,NA,NA,no_adoption,mum_alive,-0.07,NA,NA,NA,NA,NA,NA,2,2,11,wet,27675,7450,1,20200,1,0,0,0,0,0,0,25,1,0,0,0,0,0,0,3,3,175.2139808,414831.6501,3.361194949,87.886,0,0,18.63,5 - 10%,16-Apr-20,16-Dec-20,244,ES1675,87.89,NA,NA,370,No
I680,11/29/2017,B9758,intest_biomes,extreme_ranks,I,F,6/21/2013,1622,sampled_as_adult,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.78,NA,2,11,wet,75,0,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20.95075406,144240.9382,31.28444083,28.98,0,0,5.248,< 5%,24-Feb-20,16-Dec-20,296,ES2809,28.98,1168,1,1872,Yes
I687,11/8/2013,B4368,intest_biomes,twins,I,F,7/17/2013,114,sampled_as_juvenile,twin,twin_sub,mixed,10/19/2013,NA,no_adoption,mum_alive,-0.16,NA,NA,NA,NA,NA,NA,2,2,11,wet,14475,14300,1,175,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,254.9850265,1811083.431,629.3739403,76.615,0,0,5.639,< 5%,16-Apr-20,17-Dec-20,245,ES1839,76.62,1132,1,NA,Yes
